Traffic,Detected %,No Detected %,Detected Samples,No Detected Samples
Normal,99.15130705192576,0.8486929480742444,30609,262
Analysis,93.72990353697749,6.270096463022508,583,39
Backdoor,72.82913165266106,27.170868347338935,260,97
Fuzzers,69.08026211832505,30.919737881674955,14864,6653
Shellcode,87.0284579748511,12.971542025148908,1315,196
Worms,56.89655172413793,43.10344827586207,99,75
